data: {"type":"response.created","response":{"id":"resp_roqU5lnUxonJzvJQypU5_MKmcjILyTp15o3ci2FxkSIl0GsuPEYNhQTIWFUmZX0EMSbYu8VI8N4mNWGsJ5I9LByt2EF-OBgppOO1wwe4BGQBzFTOoSaHXN4syLZkzp2rGzMNrycYOcVg4jFgQ6qvkTyuW9QgrxkuAWOZ1O6I4Q0JRQqaPhSg3qz69F76IOjVXlWFXw9f4xjs5va_UZcxU_RpmAC7Ni9ejq1ox0HotSYhbGwEQ35hc-b4GO2cgfZpMTsHFE8roC9xIDCs_PUbqO_jIv1eb8qDjW6Ame6oQWTKk4ptCmoHBTdchd8LzobOVMJOxmyLfT7sbSihWBZ6oGzyMElSPJ0UsFLDGnvuZHVYYia0SQNLVfYVYdqAHKSHeo_nncyO7_eaZCfj7o5Pnw_9KqOgc8Gl3Np2LPS3","created_at":1788041100,"metadata":{"_litellm_tpm_reserved_model":"qwen3.8-max"},"model":"qwen3.8-max","object":"response","output":[],"parallel_tool_calls":true,"temperature":0.0,"tool_choice":"none","tools":[],"top_p":1.0,"max_output_tokens":32000,"status":"queued","store":false,"background":false,"service_tier":"default","top_logprobs":0,"completed_at":1788041100,"frequency_penalty":0.0,"presence_penalty":0.0},"sequence_number":0,"model":"qwen3.8-max"}

data: {"type":"response.in_progress","response":{"id":"resp_roqU5lnUxonJzvJQypU5_MKmcjILyTp15o3ci2FxkSIl0GsuPEYNhQTIWFUmZX0EMSbYu8VI8N4mNWGsJ5I9LByt2EF-OBgppOO1wwe4BGQBzFTOoSaHXN4syLZkzp2rGzMNrycYOcVg4jFgQ6qvkTyuW9QgrxkuAWOZ1O6I4Q0JRQqaPhSg3qz69F76IOjVXlWFXw9f4xjs5va_UZcxU_RpmAC7Ni9ejq1ox0HotSYhbGwEQ35hc-b4GO2cgfZpMTsHFE8roC9xIDCs_PUbqO_jIv1eb8qDjW6Ame6oQWTKk4ptCmoHBTdchd8LzobOVMJOxmyLfT7sbSihWBZ6oGzyMElSPJ0UsFLDGnvuZHVYYia0SQNLVfYVYdqAHKSHeo_nncyO7_eaZCfj7o5Pnw_9KqOgc8Gl3Np2LPS3","created_at":1788041100,"metadata":{"_litellm_tpm_reserved_model":"qwen3.8-max"},"model":"qwen3.8-max","object":"response","output":[],"parallel_tool_calls":true,"temperature":0.0,"tool_choice":"none","tools":[],"top_p":1.0,"max_output_tokens":32000,"status":"in_progress","store":false,"background":false,"service_tier":"default","top_logprobs":0,"completed_at":1788041100,"frequency_penalty":0.0,"presence_penalty":0.0},"sequence_number":1,"model":"qwen3.8-max"}

data: {"type":"response.output_item.added","output_index":0,"item":{"id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","summary":[],"type":"reasoning"},"sequence_number":2,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":"The","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":3,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" user is telling","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":4,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" me that the maximum","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":5,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" number of steps has","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":6,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" been reached, and","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":7,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" that I need","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":8,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" to respond with text","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":9,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" only. Let me","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":10,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" summarize what I","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":11,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":"'ve done so far","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":12,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":".\n\nI investigated","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":13,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" the repository and found","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":14,"model":"qwen3.8-max"}

data: {"type":"response.reasoning_text.delta","content_index":0,"delta":" the following","item_id":"msg_73ab5221-6634-4e58-a53a-ad79d7652dd1","output_index":0,"sequence_number":15,"model":"qwen3.8-max"}

